chapter	n_packages	packages
joining_matching	107	DBI,DT,MASS,Matrix,R.methodsS3,R.oo,R.utils,R6,RSQLite,Rcpp,RecordLinkage,ada,adagio,base,bit,bit64,blob,bslib,cachem,class,cli,codetools,colorspace,compiler,crosstalk,data.table,datasets,digest,doParallel,dplyr,e1071,evaluate,evd,fansi,fastLink,fastmap,ff,forcats,foreach,future,future.apply,generics,ggplot2,globals,glue,grDevices,graphics,grid,gtable,gtools,here,hms,htmltools,htmlwidgets,ipred,iterators,jquerylib,jsonlite,knitr,lattice,lava,lifecycle,listenv,lpSolve,lubridate,magrittr,memoise,methods,munsell,nnet,pacman,parallel,parallelly,pillar,pkgconfig,plotrix,prodlim,proxy,purrr,readr,rio,rlang,rmarkdown,rpart,rprojroot,sass,scales,splines,stats,stringdist,stringi,stringr,survival,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,xtable,yaml
missing_data	96	DT,MASS,Matrix,R.methodsS3,R.oo,R.utils,R6,Rcpp,backports,base,boot,broom,bslib,cachem,cli,codetools,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,foreach,generics,ggplot2,glmnet,glue,grDevices,graphics,grid,gridExtra,gtable,here,hms,htmltools,htmlwidgets,iterators,jomo,jquerylib,jsonlite,knitr,labeling,lattice,lifecycle,lme4,lubridate,magrittr,methods,mice,minqa,mitml,munsell,naniar,nlme,nloptr,nnet,pacman,pan,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rpart,rprojroot,sass,scales,shape,splines,stats,stringi,stringr,survival,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,viridis,viridisLite,visdat,withr,xfun,yaml
moving_average	80	DT,PerformanceAnalytics,Quandl,R.methodsS3,R.oo,R.utils,R6,TTR,base,bslib,cachem,cli,colorspace,compiler,crosstalk,curl,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,httr,jquerylib,jsonlite,knitr,labeling,lattice,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,quadprog,quantmod,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,slider,stats,stringi,stringr,tibble,tidyquant,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,warp,withr,xfun,xts,yaml,zoo
network_drives	23	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
packages_suggested	20	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,htmltools,htmlwidgets,jsonlite,knitr,methods,rlang,rmarkdown,stats,tools,utils,xfun
phylogenetic_trees	87	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,ape,aplot,base,bslib,cachem,cli,colorspace,compiler,crosstalk,data.table,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,fs,generics,ggfun,ggnewscale,ggplot2,ggplotify,ggtree,glue,grDevices,graphics,grid,gridGraphics,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,labeling,lattice,lazyeval,lifecycle,lubridate,magrittr,memoise,methods,munsell,nlme,pacman,parallel,patchwork,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidytree,tidyverse,timechange,tools,treeio,tzdb,utf8,utils,vctrs,withr,xfun,yaml,yulab.utils
pivoting	77	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,highr,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,kableExtra,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,png,purrr,readr,rio,rlang,rmarkdown,rprojroot,rstudioapi,sass,scales,snakecase,stats,stringi,stringr,svglite,systemfonts,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,viridisLite,withr,xfun,xml2,yaml
plot_discrete	69	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
r_projects	22	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
regression	126	DT,MASS,Matrix,R.methodsS3,R.oo,R.utils,R6,Rcpp,askpass,backports,base,bayestestR,broom,broom.helpers,bslib,cachem,cli,colorspace,commonmark,compiler,correlation,crayon,crosstalk,crul,curl,data.table,datasets,datawizard,digest,dplyr,easystats,effectsize,ellipsis,evaluate,fansi,farver,fastmap,flextable,fontBitstreamVera,fontLiberation,fontquiver,forcats,gdtools,generics,gfonts,ggplot2,glue,grDevices,graphics,grid,gt,gtable,gtsummary,haven,here,hms,htmltools,htmlwidgets,httpcode,httpuv,insight,janitor,jquerylib,jsonlite,knitr,labeling,labelled,later,lattice,lifecycle,lmtest,lubridate,magrittr,markdown,methods,mgcv,mime,modelbased,munsell,nlme,officer,openssl,pacman,parameters,performance,pillar,pkgconfig,promises,purrr,ragg,readr,report,rio,rlang,rmarkdown,rprojroot,rstudioapi,sass,scales,see,shiny,snakecase,splines,stats,stringi,stringr,systemfonts,textshaping,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,uuid,vctrs,withr,xfun,xml2,xtable,yaml,zip,zoo
relational_databases	65	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
reportfactory	23	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
rmarkdown	22	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
shiny_basics	62	DT,R.methodsS3,R.oo,R.utils,R6,base,cli,colorspace,compiler,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,png,purrr,readr,rio,rlang,rmarkdown,rprojroot,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun
standardization	84	DT,Deriv,MASS,Matrix,PHEindicatormethods,R.methodsS3,R.oo,R.utils,R6,backports,base,boot,broom,bslib,cachem,cli,colorspace,compiler,crosstalk,data.table,datasets,digest,doBy,dplyr,dsr,evaluate,fansi,fastmap,forcats,frailtypack,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lattice,lifecycle,lubridate,magrittr,methods,microbenchmark,munsell,nlme,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rootSolve,rprojroot,sass,scales,splines,statmod,stats,stringi,stringr,survC1,survival,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
stat_tests	112	DT,R.methodsS3,R.oo,R.utils,R6,Rcpp,abind,askpass,backports,base,base64enc,broom,broom.helpers,bslib,cachem,car,carData,cli,colorspace,commonmark,compiler,corrr,crayon,crosstalk,crul,curl,data.table,datasets,digest,dplyr,ellipsis,evaluate,fansi,farver,fastmap,flextable,fontBitstreamVera,fontLiberation,fontquiver,forcats,gdtools,generics,gfonts,ggplot2,glue,grDevices,graphics,grid,gt,gtable,gtsummary,here,hms,htmltools,htmlwidgets,httpcode,httpuv,janitor,jquerylib,jsonlite,knitr,labeling,later,lifecycle,lubridate,magrittr,markdown,methods,mime,munsell,officer,openssl,pacman,pillar,pkgconfig,promises,purrr,ragg,readr,repr,rio,rlang,rmarkdown,rprojroot,rstatix,sass,scales,shiny,skimr,snakecase,stats,stringi,stringr,systemfonts,textshaping,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,uuid,vctrs,withr,xfun,xml2,xtable,yaml,zip
survey_analysis	108	DBI,DT,KernSmooth,MASS,Matrix,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,anytime,apyramid,backports,base,broom,broom.helpers,bslib,cachem,cellranger,class,classInt,cli,colorspace,commonmark,compiler,crosstalk,datasets,digest,dplyr,e1071,ellipsis,epidict,epikit,epitabulate,evaluate,fansi,farver,fastmap,forcats,generics,ggforce,ggplot2,glue,grDevices,graphics,grid,gt,gtable,gtsummary,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,labeling,lattice,lifecycle,lubridate,magrittr,markdown,methods,mitools,munsell,pacman,patchwork,pillar,pkgconfig,polyclip,proxy,purrr,readr,readxl,rio,rlang,rmarkdown,rprojroot,rstudioapi,sass,scales,sf,sitrep,splines,srvyr,stats,stringi,stringr,survey,survival,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tsibble,tweenr,tzdb,units,utf8,utils,vctrs,withr,xfun,xml2,yaml
